index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
5165,F,N,Y,0,202500,Working,Incomplete higher,Single / not married,House / apartment,-18596,-7288,1,0,0,0,Core staff,1,0,1
5166,F,N,Y,0,108000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12098,-2226,1,1,0,0,Sales staff,2,-10,2
5167,F,N,Y,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,1,0,0,1,Laborers,3,-5,0
5168,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,-34,1
5169,M,Y,Y,0,144000,Commercial associate,Higher education,Married,House / apartment,-19270,-2356,1,0,1,0,Managers,2,-30,2
5170,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-20152,365243,1,0,1,0,,2,-24,2
5171,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-18109,-3484,1,0,0,0,Drivers,2,-16,0
5172,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-19253,-8448,1,0,0,0,,2,-29,2
5173,F,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,-17262,-1107,1,1,1,0,Sales staff,3,-36,2
5174,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-23021,365243,1,0,0,0,,2,-30,2
5175,F,N,Y,0,360000,State servant,Secondary / secondary special,Married,House / apartment,-19070,-10490,1,0,0,0,Accountants,2,-27,2
5176,M,N,N,0,180000,Working,Higher education,Married,With parents,-13484,-2417,1,1,1,0,High skill tech staff,2,-38,2
5177,M,Y,N,1,180000,Commercial associate,Higher education,Married,House / apartment,-12925,-1693,1,0,0,1,IT staff,3,-28,2
5178,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,-18590,-3382,1,0,1,0,Laborers,2,-37,1
5179,M,Y,Y,1,144000,State servant,Secondary / secondary special,Married,Office apartment,-10659,-3131,1,1,1,0,Managers,3,-13,2
5180,F,N,Y,0,112500,State servant,Higher education,Married,House / apartment,-16907,-429,1,0,0,0,Secretaries,2,-31,2
5181,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-10957,-1214,1,0,0,0,Cooking staff,2,-21,0
5182,F,Y,Y,1,180000,Working,Higher education,Separated,House / apartment,-18838,-5981,1,0,0,0,Managers,2,-36,2
5183,F,N,N,0,171000,Working,Secondary / secondary special,Separated,Office apartment,-16241,-8862,1,1,0,0,Drivers,1,-53,2
5184,F,Y,Y,2,76500,Working,Higher education,Married,House / apartment,-12463,-1631,1,0,1,0,,4,-33,2
5185,F,N,Y,0,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,-16569,-517,1,0,0,0,Laborers,2,-48,2
5186,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-23269,365243,1,0,1,0,,2,-45,2
5187,F,N,Y,0,202500,Pensioner,Higher education,Married,House / apartment,-21148,365243,1,0,1,0,,2,-31,2
5188,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-22333,365243,1,0,0,0,,2,-1,1
5189,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20158,-3566,1,0,0,0,Managers,2,-43,1
5190,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,1,1,0,0,Managers,2,-20,2
5191,F,Y,Y,0,135000,Pensioner,Higher education,Married,House / apartment,-21179,365243,1,0,0,0,,2,-52,2
5192,F,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,-9768,-95,1,0,0,0,,2,-39,1
5193,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-15852,-3304,1,0,0,0,Laborers,2,-15,2
5194,F,N,Y,0,450000,Working,Secondary / secondary special,Married,House / apartment,-21480,-4660,1,1,0,0,,2,-24,2
5195,M,N,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,-17160,-1625,1,0,1,1,Managers,2,-41,2
5196,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-11053,-1626,1,0,0,0,Laborers,2,-37,2
5197,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-11440,-4663,1,0,0,0,High skill tech staff,2,-7,0
5198,M,Y,N,2,135000,Working,Higher education,Married,With parents,-11645,-5056,1,0,1,0,Laborers,4,-23,2
5199,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,-20536,365243,1,0,0,0,,1,-36,2
5200,F,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-17493,-3694,1,0,0,1,Medicine staff,2,-55,2
5201,F,Y,Y,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,-16505,-8377,1,0,0,0,Laborers,2,-31,2
5202,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-13770,-4369,1,0,0,0,Sales staff,3,-7,2
5203,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-15702,-2415,1,0,0,0,Drivers,2,-60,2
5204,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-20301,-3092,1,1,1,0,Managers,2,-56,2
5205,M,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-9768,-1483,1,1,0,1,Sales staff,3,-37,2
5206,M,N,Y,0,135000,State servant,Secondary / secondary special,Married,Rented apartment,-10448,-2323,1,1,0,1,,2,-24,1
5207,M,N,Y,0,90000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16459,-704,1,1,0,0,Low-skill Laborers,2,-8,0
5208,F,N,Y,2,225000,Working,Higher education,Married,House / apartment,-12644,-1648,1,1,1,0,Accountants,4,-49,2
5209,F,N,Y,1,135000,Working,Incomplete higher,Separated,House / apartment,-10153,-599,1,0,0,0,Sales staff,2,-13,2
5210,F,N,Y,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,-12946,-341,1,0,1,1,Sales staff,2,-23,2
5211,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12075,-1430,1,0,1,0,High skill tech staff,1,-9,1
5212,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-12446,-645,1,0,0,0,Core staff,2,-11,0
5213,F,N,Y,0,153000,Pensioner,Secondary / secondary special,Widow,House / apartment,-21256,365243,1,0,0,0,,1,-46,1
5214,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-15174,-3292,1,1,0,0,Sales staff,3,-55,0
5215,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-22318,-565,1,0,0,0,Cleaning staff,2,-10,1
5216,M,Y,Y,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,-14295,-2083,1,1,1,0,Laborers,1,-29,2
5217,F,N,Y,0,49500,Pensioner,Secondary / secondary special,Married,House / apartment,-22446,365243,1,0,0,0,,2,-55,2
5218,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-22225,365243,1,0,0,0,,2,-27,2
5219,F,Y,Y,1,126000,Working,Secondary / secondary special,Civil marriage,House / apartment,-13173,-1083,1,1,0,0,Sales staff,3,-45,2
5220,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19008,-3607,1,0,0,0,Managers,2,-53,2
5221,F,N,N,1,144000,Working,Secondary / secondary special,Single / not married,Rented apartment,-14427,-3506,1,1,1,0,High skill tech staff,2,-51,2
5222,M,Y,Y,1,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,-13165,-1022,1,0,0,0,Drivers,3,-3,1
5223,M,Y,N,0,261000,Commercial associate,Incomplete higher,Civil marriage,With parents,-8897,-674,1,0,0,0,Sales staff,2,-37,2
5224,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,-17472,-1202,1,1,1,0,,2,-48,2
5225,F,N,Y,0,135000,Working,Secondary / secondary special,Widow,House / apartment,-20929,-1651,1,0,0,0,Medicine staff,1,-31,1
5226,F,N,N,0,112500,Working,Secondary / secondary special,Separated,House / apartment,-12369,-187,1,0,0,0,Core staff,1,-13,2
5227,F,N,N,0,90000,State servant,Higher education,Married,Rented apartment,-15859,-1536,1,0,0,0,Core staff,2,-8,2
5228,F,N,Y,1,180000,Pensioner,Higher education,Married,House / apartment,-18979,365243,1,0,1,0,,3,-24,1
5229,F,N,Y,0,58500,Pensioner,Secondary / secondary special,Married,House / apartment,-24473,365243,1,0,1,0,,2,-47,2
5230,F,N,Y,2,202500,Working,Lower secondary,Married,House / apartment,-13483,-5204,1,0,0,1,Laborers,4,-52,1
5231,F,N,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,-19180,-1223,1,1,1,0,,2,-60,2
5232,M,N,Y,0,99000,Working,Secondary / secondary special,Separated,House / apartment,-17952,-4086,1,0,0,0,,1,-16,2
5233,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,-22332,365243,1,0,0,0,,1,-53,2
5234,F,N,Y,0,247500,Commercial associate,Higher education,Single / not married,Office apartment,-9717,-1384,1,0,0,0,Sales staff,1,-9,2
5235,F,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-11749,-992,1,0,0,0,Medicine staff,2,-23,2
5236,M,N,Y,2,675000,State servant,Secondary / secondary special,Married,House / apartment,-14163,-6886,1,0,1,0,Drivers,4,-45,1
5237,F,Y,Y,2,450000,Working,Secondary / secondary special,Married,House / apartment,-14874,-4693,1,0,0,0,Core staff,4,-22,2
5238,F,Y,Y,0,185400,Pensioner,Secondary / secondary special,Widow,House / apartment,-23584,365243,1,0,0,0,,1,-17,2
5239,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-13440,-6639,1,0,0,0,Core staff,2,-50,2
5240,M,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-17406,-4586,1,0,0,0,,2,-6,2
5241,F,Y,Y,3,126000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12264,-1097,1,0,0,0,Laborers,5,-54,2
5242,F,N,Y,0,225000,Working,Higher education,Single / not married,House / apartment,-12195,-2592,1,0,1,0,Managers,1,-29,2
5243,M,Y,Y,1,58500,Working,Secondary / secondary special,Married,House / apartment,-13791,-2818,1,1,1,0,Drivers,3,-24,2
5244,F,N,N,0,112500,Working,Incomplete higher,Married,With parents,-10157,-704,1,0,0,0,Sales staff,2,-9,2
5245,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,365243,1,0,0,0,,1,-60,2
5246,M,Y,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-18093,-3061,1,0,0,0,,1,-46,2
5247,M,N,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-17454,-2361,1,0,0,0,Laborers,2,-18,1
5248,F,N,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-11268,-2545,1,1,1,0,Laborers,2,-43,2
5249,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21635,365243,1,0,1,0,,2,-15,1
5250,M,Y,Y,2,180000,State servant,Secondary / secondary special,Married,House / apartment,-12258,-5450,1,0,0,0,Drivers,4,-46,2
5251,F,N,Y,1,157500,Working,Secondary / secondary special,Separated,Municipal apartment,-13355,-625,1,0,0,0,Sales staff,2,-45,2
5252,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-15488,-2453,1,0,0,0,Laborers,2,-9,2
5253,F,N,Y,0,112500,Working,Secondary / secondary special,Widow,House / apartment,-16917,-4081,1,1,0,0,Laborers,1,-24,1
5254,M,N,Y,0,225000,Working,Incomplete higher,Married,House / apartment,-11616,-3344,1,1,1,0,Laborers,2,-54,2
5255,M,Y,Y,0,450000,Working,Higher education,Married,House / apartment,-19087,-4434,1,0,1,0,Managers,2,-7,2
5256,M,N,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-10189,-1189,1,1,1,0,,3,-54,2
5257,M,Y,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-23180,365243,1,0,0,0,,2,-17,2
5258,F,N,Y,0,157500,Working,Higher education,Single / not married,House / apartment,-11956,-307,1,0,0,0,High skill tech staff,1,-26,2
5259,M,N,N,0,225000,Working,Higher education,Single / not married,House / apartment,-10166,-1774,1,1,0,0,,1,-32,1
5260,M,Y,Y,1,139500,Working,Secondary / secondary special,Married,House / apartment,-14355,-5557,1,1,0,0,Laborers,3,-38,2
5261,F,N,N,1,157500,Working,Secondary / secondary special,Widow,House / apartment,-18571,-4602,1,1,0,0,,2,-17,2
5262,F,N,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16234,-6075,1,0,1,0,Laborers,3,-24,2
5263,M,N,Y,0,114750,Pensioner,Secondary / secondary special,Separated,House / apartment,-21268,365243,1,0,0,0,,1,-16,2
5264,M,N,Y,0,180000,Commercial associate,Higher education,Single / not married,House / apartment,-9863,-189,1,0,0,0,Core staff,1,-8,2
5265,F,Y,N,0,121500,Working,Secondary / secondary special,Married,House / apartment,-12662,-1382,1,1,0,0,Medicine staff,2,-27,2
5266,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-15185,-3229,1,1,1,0,Managers,4,-32,2
5267,F,N,Y,0,171000,Working,Higher education,Married,House / apartment,-18348,-3853,1,0,0,0,High skill tech staff,2,-32,2
5268,F,Y,N,3,112500,Working,Secondary / secondary special,Married,House / apartment,-11731,-3776,1,1,1,0,,5,-22,2
5269,M,N,Y,0,360000,Commercial associate,Higher education,Married,House / apartment,-19572,-3078,1,0,0,1,Managers,2,-4,2
5270,M,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-23563,365243,1,0,1,0,,2,-49,2
5271,F,N,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14962,-3353,1,1,1,0,Sales staff,3,-40,0
5272,F,N,Y,0,207000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19569,-2013,1,0,0,0,Sales staff,1,-44,1
5273,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-22491,365243,1,0,0,0,,2,-21,2
5274,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-19718,-1292,1,0,0,0,Cooking staff,2,-8,2
5275,M,Y,Y,2,225000,Working,Higher education,Married,House / apartment,-13456,-992,1,0,0,0,Drivers,4,-24,2
5276,M,Y,N,0,157500,Working,Secondary / secondary special,Married,Rented apartment,-12374,-307,1,1,1,0,Core staff,2,-1,1
5277,M,N,Y,0,202500,Pensioner,Higher education,Married,House / apartment,-19631,365243,1,0,0,0,,2,-58,2
5278,F,Y,Y,0,206100,Pensioner,Secondary / secondary special,Married,House / apartment,-20296,365243,1,0,1,0,,2,-31,2
5279,M,Y,N,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,-13348,-170,1,0,0,1,Managers,2,-42,0
5280,F,N,Y,0,247500,Pensioner,Higher education,Married,House / apartment,-22107,365243,1,0,0,0,,2,-57,2
5281,M,N,Y,2,180000,Working,Secondary / secondary special,Separated,House / apartment,-16398,-3640,1,0,1,0,Security staff,3,-50,0
5282,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,-9876,-1571,1,0,0,0,Core staff,2,-6,1
5283,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,-19958,-7465,1,0,0,0,Laborers,2,-6,2
5284,F,N,N,0,81000,Working,Secondary / secondary special,Single / not married,House / apartment,-17876,-377,1,1,1,0,Private service staff,1,-42,2
5285,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,-14600,-1203,1,0,0,0,Managers,2,-23,0
5286,F,N,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,-16415,-3054,1,0,0,1,Private service staff,3,-51,1
5287,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,365243,1,0,0,0,,1,-50,2
5288,F,N,Y,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,-21778,365243,1,0,1,0,,1,-42,2
5289,M,N,Y,0,229500,Working,Secondary / secondary special,Single / not married,House / apartment,-16481,-1292,1,1,1,0,Drivers,1,-8,2
5290,M,N,Y,0,247500,State servant,Secondary / secondary special,Married,House / apartment,-13570,-5364,1,0,0,0,Medicine staff,2,-19,2
5291,F,Y,N,2,135000,Working,Secondary / secondary special,Married,House / apartment,-13928,-3052,1,0,0,0,Laborers,4,-19,2
5292,F,N,N,0,81000,Working,Secondary / secondary special,Married,House / apartment,-9172,-2175,1,1,0,0,Laborers,2,-5,1
5293,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20462,365243,1,0,1,0,,1,-40,0
5294,F,N,N,1,180000,Commercial associate,Incomplete higher,Married,House / apartment,-14687,-7401,1,1,1,0,High skill tech staff,3,-5,2
5295,F,Y,Y,2,90000,Working,Higher education,Married,House / apartment,-11599,-1928,1,1,1,0,Accountants,4,-37,2
5296,M,Y,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16536,-655,1,0,0,0,Drivers,4,-14,2
5297,F,N,Y,0,157500,Pensioner,Higher education,Married,House / apartment,-22414,365243,1,0,1,0,,2,-3,0
5298,F,Y,N,1,81000,Working,Secondary / secondary special,Married,House / apartment,-15062,-2014,1,1,0,0,,3,-41,0
5299,F,N,Y,1,180000,Working,Secondary / secondary special,Married,House / apartment,-15116,-2284,1,0,0,0,Laborers,3,-5,0
5300,F,Y,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,-11589,-73,1,0,1,1,Core staff,2,-29,2
5301,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-8699,-202,1,0,0,1,Cooking staff,2,-14,2
5302,M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,-17348,-2420,1,0,0,0,Managers,2,-13,2
5303,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23262,365243,1,0,1,0,,1,-35,1
5304,M,N,Y,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16184,-1003,1,0,0,0,Drivers,3,-24,2
5305,M,Y,Y,0,675000,State servant,Higher education,Married,House / apartment,-11912,-2200,1,0,0,0,High skill tech staff,2,-42,2
5306,M,N,N,0,180000,Working,Higher education,Married,House / apartment,-14344,-3443,1,0,0,0,Laborers,2,-12,2
5307,F,Y,N,2,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,-11023,-2652,1,1,0,0,Laborers,4,-16,1
5308,F,Y,Y,1,133650,Commercial associate,Secondary / secondary special,Married,House / apartment,-14596,-1965,1,0,0,0,,3,-45,2
5309,F,N,Y,1,67500,Working,Secondary / secondary special,Separated,House / apartment,-11126,-2087,1,1,1,0,Accountants,2,-38,0
5310,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15875,-2758,1,1,1,0,Core staff,2,-9,2
5311,F,N,Y,2,144000,Working,Secondary / secondary special,Married,Municipal apartment,-9839,-1835,1,1,0,0,Laborers,4,-3,1
5312,M,Y,Y,0,252000,Working,Secondary / secondary special,Married,House / apartment,-21663,-8015,1,0,1,0,Core staff,2,-29,2
5313,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-21916,365243,1,0,1,0,,2,-6,2
5314,F,Y,N,0,180000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15351,-6790,1,0,0,0,Core staff,1,-31,1
5315,M,Y,N,0,225000,State servant,Higher education,Married,House / apartment,-13024,-2118,1,1,1,0,Drivers,2,-33,0
5316,F,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,-21131,-9379,1,0,1,0,,2,-49,2
5317,F,N,Y,0,135000,Commercial associate,Higher education,Civil marriage,House / apartment,-10091,-1525,1,0,0,1,,2,-53,2
5318,F,Y,N,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15932,-4490,1,0,0,0,High skill tech staff,2,-54,2
5319,F,N,N,0,67500,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14872,-529,1,0,0,0,,1,-7,2
5320,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,With parents,-13689,-1172,1,0,0,0,Sales staff,3,-50,1
5321,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-16299,-655,1,0,0,0,Managers,2,-32,2
5322,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-17567,-3917,1,0,0,0,,2,-19,1
5323,F,N,Y,0,90000,State servant,Secondary / secondary special,Civil marriage,House / apartment,-15945,-3673,1,1,1,0,Core staff,2,-32,2
5324,M,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-15623,-1645,1,0,0,0,Laborers,2,-42,1
5325,F,N,Y,1,337500,Working,Higher education,Married,House / apartment,-16867,-3592,1,0,0,0,,3,-59,2
5326,M,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,-17137,-614,1,0,0,0,Laborers,1,-11,1
5327,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-22960,365243,1,0,0,0,,2,-6,2
5328,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12009,-1912,1,0,1,0,Sales staff,1,-17,2
5329,M,N,N,0,157500,State servant,Higher education,Married,House / apartment,-11965,-3876,1,0,0,0,Core staff,2,-36,1
5330,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15875,-2758,1,1,1,0,Core staff,2,-33,2
5331,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-17340,-3596,1,0,1,0,Managers,2,-3,1
5332,M,N,Y,1,135000,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,1,0,0,0,Laborers,2,-38,2
5333,F,Y,Y,1,315000,State servant,Higher education,Widow,House / apartment,-18233,-425,1,0,1,1,,2,-27,1
5334,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21185,-2381,1,0,0,0,Accountants,1,-14,2
5335,F,Y,N,0,270000,Working,Higher education,Married,House / apartment,-19963,-1235,1,0,1,0,Medicine staff,2,-15,0
5336,F,N,Y,0,40500,Pensioner,Secondary / secondary special,Married,House / apartment,-21177,365243,1,0,0,0,,2,-48,0
5337,M,Y,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,-14606,-3778,1,1,1,0,Managers,2,-48,2
5338,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-12078,-673,1,1,1,0,Laborers,2,-21,1
5339,M,Y,N,0,112500,Commercial associate,Secondary / secondary special,Separated,House / apartment,-9525,-1843,1,0,0,0,Laborers,1,-34,2
5340,M,Y,Y,2,292500,Working,Secondary / secondary special,Married,House / apartment,-8782,-1018,1,1,0,0,Laborers,4,-27,2
5341,F,N,N,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-20116,365243,1,0,1,0,,2,-44,2
5342,M,Y,Y,0,252000,Working,Secondary / secondary special,Married,House / apartment,-22117,-1621,1,0,1,1,Security staff,2,-30,2
5343,M,Y,Y,0,225000,Working,Higher education,Single / not married,With parents,-9444,-663,1,1,1,0,,1,-22,0
5344,M,Y,Y,0,180000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-24780,365243,1,0,0,0,,2,-43,2
5345,F,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-23390,365243,1,0,0,0,,2,-32,2
5346,F,N,Y,0,117000,Pensioner,Higher education,Married,House / apartment,-18009,365243,1,0,0,0,,2,-40,2
5347,F,N,Y,0,270000,Pensioner,Higher education,Married,House / apartment,-19724,365243,1,0,1,0,,2,-10,0
5348,F,N,N,0,112500,Working,Secondary / secondary special,Married,With parents,-11631,-584,1,1,0,0,,2,-51,1
5349,F,N,Y,2,157500,State servant,Secondary / secondary special,Married,House / apartment,-12682,-932,1,0,0,1,Managers,4,-6,1
5350,F,N,N,1,85500,State servant,Secondary / secondary special,Married,Municipal apartment,-15014,-6866,1,0,0,0,Core staff,3,-49,2
5351,F,Y,N,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-10858,-3215,1,0,0,1,,3,-40,2
5352,F,Y,N,0,202500,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,1,0,1,0,Medicine staff,2,-57,2
5353,F,N,Y,0,225000,Working,Higher education,Single / not married,House / apartment,-13813,-3366,1,0,0,0,Accountants,1,-26,2
5354,F,N,N,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,-16898,-7310,1,1,1,0,Core staff,1,-59,2
5355,F,Y,N,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15932,-4490,1,0,0,0,High skill tech staff,2,-38,2
5356,F,Y,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14116,-2269,1,0,0,0,Medicine staff,2,-7,2
5357,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-12207,-3018,1,0,0,0,Laborers,3,-12,1
5358,F,N,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,-15804,-732,1,0,0,1,,3,-12,2
5359,F,Y,Y,0,249750,Pensioner,Secondary / secondary special,Widow,Municipal apartment,-17394,365243,1,0,0,0,,1,-28,2
5360,F,N,Y,0,382500,Working,Higher education,Married,House / apartment,-16482,-3413,1,0,1,1,,2,-16,2
5361,M,N,Y,0,90000,Commercial associate,Higher education,Married,House / apartment,-14565,-542,1,0,0,0,Laborers,2,-13,2
5362,M,N,N,0,225000,Working,Higher education,Separated,House / apartment,-15734,-2996,1,1,1,0,Laborers,1,-14,2
5363,M,Y,Y,1,270000,Working,Higher education,Married,House / apartment,-17193,-1137,1,0,0,0,Laborers,3,-9,2
5364,M,N,Y,0,292500,Commercial associate,Secondary / secondary special,Married,House / apartment,-10375,-962,1,0,0,0,Laborers,2,-8,2
5365,F,N,N,1,216000,Working,Secondary / secondary special,Married,House / apartment,-12833,-4121,1,0,0,0,Sales staff,3,-2,1
5366,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,-34,2
5367,M,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,-17991,-3304,1,0,0,0,,3,-16,2
5368,M,Y,N,0,135000,Working,Higher education,Single / not married,House / apartment,-9299,-1277,1,1,1,0,Drivers,1,-7,1
5369,M,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,-10492,-2822,1,0,0,0,Drivers,2,-55,2
5370,F,N,Y,1,252000,State servant,Higher education,Single / not married,House / apartment,-15978,-2389,1,0,0,1,Core staff,2,-10,1
5371,F,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,-22783,365243,1,0,1,0,,2,-42,0
5372,F,N,Y,0,315000,Working,Secondary / secondary special,Separated,House / apartment,-15256,-3291,1,0,0,0,Laborers,1,-50,2
5373,M,N,N,0,202500,Working,Incomplete higher,Single / not married,House / apartment,-15744,-4365,1,1,1,1,,1,-5,0
5374,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20132,365243,1,0,1,0,,1,-11,2
5375,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-18543,-1890,1,1,1,0,Managers,2,-2,1
5376,F,N,N,0,405000,Commercial associate,Higher education,Married,House / apartment,-13692,-200,1,0,1,0,Managers,2,-25,0
5377,M,N,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-10152,-2585,1,1,0,0,Laborers,2,-11,2
5378,F,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14687,-786,1,0,0,0,Sales staff,3,-37,2
