index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
3367,1114000003014300,5011000314096400,여행/문화,문화컨텐츠,3
3368,1117000009037100,5011001065009200,디지털/가전,기타디지털/가전,3
3369,1117000009037100,5013000527096300,디지털/가전,기타디지털/가전,6
3370,1117000009037100,5013000866017400,디지털/가전,기타디지털/가전,22
3371,1153000017005200,5011000213079200,식품,가공식품,5
3372,1153000017005200,5011000265029300,식품,건강식품,3
3373,1153000017005200,5013000782095400,식품,가공식품,4
3374,1156000011090300,5011000373021200,식품,수산,6
3375,1165000014095200,5011000429031300,여행/문화,문화컨텐츠,4
3376,1168000011047200,5011001036064300,패션의류,상의,3
3377,1171000027010300,5011000314078100,식품,건강식품,11
3378,2629000003087200,5011000317048400,식품,가공식품,7
3379,2635000035072100,5013000866045300,패션의류,상의,5
3380,2644000098076300,5011000319083300,생활/건강,생활용품,3
3381,2647000004030200,5013000808070200,식품,기타식품,5
3382,3023000012008100,5013000840056100,생활/건강,생활용품,4
3383,3171000094054200,5013000945030300,식품,건강식품,6
3384,4113300018010300,5011000215099200,디지털/가전,기타디지털/가전,20
3385,4119900005091100,5013000862050200,패션의류,상의,5
3386,4122000053068300,5011000374030400,패션의류,상의,4
3387,4128100124091200,5011000768032200,패션의류,기타패션의류,3
3388,4128500028049400,5011000863076200,생활/건강,주방용품,4
3389,4136000216029100,5011000374081300,생활/건강,반려동물,3
3390,4136000318025200,5011000314069300,화장품/미용,스킨케어,4
3391,4139000129035200,5013000809078100,식품,과자,3
3392,4141000031030100,5011000313056100,식품,가공식품,7
3393,4143000042096200,5011000467025100,식품,냉동/간편조리식품,3
3394,4146100146003300,5011000429068100,생활/건강,주방용품,7
3395,4146100238100100,5011000315035400,생활/건강,건강용품,7
3396,4146300052052100,5011000108052300,식품,기타식품,4
3397,4148000690015300,5011000219032100,여행/문화,문화컨텐츠,7
3398,4148000690015300,5011000265062300,여행/문화,문화컨텐츠,3
3399,4148000690015300,5011000266004100,여행/문화,문화컨텐츠,3
3400,4148000690015300,5011000267021300,여행/문화,문화컨텐츠,4
3401,4148000690015300,5011000318012200,여행/문화,문화컨텐츠,4
3402,4148000690043300,5011000266077400,여행/문화,문화컨텐츠,3
3403,4148000690043300,5011000313086100,여행/문화,문화컨텐츠,3
3404,4148000690043300,5011000374028300,여행/문화,문화컨텐츠,6
3405,4148000699072200,5011000173091400,생활/건강,음반,3
3406,4148000699072200,5011000267062200,여행/문화,문화컨텐츠,5
3407,4148000699072200,5011000309077200,생활/건강,음반,4
3408,4148000699072200,5011000317025300,생활/건강,반려동물,5
3409,4148000699072200,5011000318076400,여행/문화,문화컨텐츠,14
3410,4148000699072200,5011000434070400,생활/건강,음반,3
3411,4150000146048200,5013000918007100,식품,건강식품,3
3412,4150000163045200,5011000214040200,패션의류,상의,3
3413,4150000163045200,5011000215088200,패션의류,상의,3
3414,4150000163045200,5011000372012400,식품,건강식품,3
3415,4150000213088200,5011000312093400,생활/건강,건강용품,4
3416,4150000241045200,5013000776079300,식품,건강식품,10
3417,4150000241065200,5011000265032300,식품,건강식품,3
3418,4157000166017200,5011000767020300,식품,음료,4
3419,4159000429094300,5011000266033100,식품,냉동/간편조리식품,4
3420,4159000429094300,5011000313040400,식품,과자,3
3421,4159000429094300,5011000434100200,식품,가공식품,3
3422,4159000429094300,5011000435044300,식품,냉동/간편조리식품,5
3423,4159000429094300,5011000482013100,식품,냉동/간편조리식품,3
3424,4159000429094300,5011000626021200,식품,가공식품,3
3425,4161000358030400,5011000314040400,생활/건강,문구/사무용품,84
3426,4161000378091100,5011000214014300,식품,음료,6
3427,4161000402049200,5011000214031400,식품,건강식품,4
3428,4282000473033400,5011000215049400,식품,음료,9
3429,4311300075041400,5013000524032400,생활/건강,주방용품,3
3430,4374500014067300,5013000782072200,생활/건강,건강용품,5
3431,4377000154043400,5011000209066100,식품,기타식품,3
3432,4418000111010300,5011000168088100,식품,기타식품,49
3433,4423000325072100,5011000214052100,식품,가공식품,5
3434,4480000348094100,5011000314069300,식품,냉동/간편조리식품,6
3435,4711300727053200,5011000506059400,식품,기타식품,3
3436,4715000300080400,5011000215035300,식품,농산물,3
3437,4721000353009200,5011000267021300,식품,과자,9
3438,4775000427055100,5011000264078200,식품,건강식품,5
3439,4833000340097200,5013000866026400,패션의류,기타패션의류,4
3440,5011000078068400,1117000010025100,식품,농산물,5
3441,5011000078068400,1129000010096100,식품,농산물,6
3442,5011000078068400,1129000011001300,식품,농산물,4
3443,5011000078068400,1141000012020300,식품,농산물,3
3444,5011000078068400,1147000016026100,식품,농산물,3
3445,5011000078068400,1150000034057400,식품,농산물,3
3446,5011000078068400,1154500006038400,식품,농산물,3
3447,5011000078068400,1168000017073200,식품,농산물,3
3448,5011000078068400,1171000021058100,식품,농산물,3
3449,5011000078068400,2635000034058400,식품,농산물,3
3450,5011000078068400,2644000142087400,식품,농산물,4
3451,5011000078068400,2771000062088200,식품,농산물,3
3452,5011000078068400,2818500046021300,식품,농산물,3
3453,5011000078068400,2823700016017100,식품,농산물,3
3454,5011000078068400,3114000035058200,식품,농산물,4
3455,5011000078068400,3611000387005300,식품,농산물,3
3456,5011000078068400,4111700029028200,식품,농산물,4
3457,5011000078068400,4113500057085400,식품,농산물,4
3458,5011000078068400,4119500016080400,식품,농산물,3
3459,5011000078068400,4121000014040200,식품,농산물,3
3460,5011000078068400,4122000314094300,식품,농산물,4
3461,5011000078068400,4127100015062300,식품,농산물,5
3462,5011000078068400,4128100059042400,식품,농산물,4
3463,5011000078068400,4128100115092400,식품,농산물,5
3464,5011000078068400,4128700011086300,식품,농산물,3
3465,5011000078068400,4136000250081200,식품,농산물,4
3466,5011000078068400,4139000011017200,식품,농산물,3
3467,5011000078068400,4146300039025200,식품,농산물,3
3468,5011000078068400,4159000215099400,식품,농산물,3
3469,5011000078068400,4165000715046200,식품,농산물,7
3470,5011000078068400,4211000645081400,식품,농산물,3
3471,5011000078068400,4413300197048400,식품,농산물,3
3472,5011000078068400,4514000396089400,식품,농산물,3
3473,5011000078068400,4611000046066200,식품,농산물,5
3474,5011000078068400,4613000341014400,식품,농산물,3
3475,5011000078068400,4673000322090100,식품,농산물,4
3476,5011000078068400,4729000228005300,식품,농산물,3
3477,5011000078068400,4812700051053100,식품,농산물,3
3478,5011000078068400,4831000253017100,식품,농산물,3
3479,5011000078068400,4831000278049200,식품,농산물,3
3480,5011000137030100,1171000025080100,식품,농산물,3
3481,5011000137030100,2620000012001300,식품,농산물,3
3482,5011000137030100,2818500006016100,식품,농산물,3
3483,5011000137030100,4111700007045300,식품,농산물,5
3484,5011000137030100,4111700029066200,식품,농산물,3
3485,5011000137030100,4113300003016200,식품,농산물,3
3486,5011000137030100,4139000012052200,식품,농산물,3
3487,5011000137030100,4143000015088100,식품,농산물,3
3488,5011000137030100,4159000344001300,식품,농산물,3
3489,5011000137030100,4812300016003300,식품,농산물,3
3490,5011000137030100,4824000453046400,식품,농산물,3
3491,5011000168088200,4122000331024200,식품,수산,13
3492,5011000183026200,3017000011051300,식품,농산물,3
3493,5011000213069100,1130500019021300,식품,기타식품,10
3494,5011000213090100,4128100136028400,식품,농산물,3
3495,5011000213090100,4136000293013400,식품,농산물,3
3496,5011000213090100,4141000024047200,식품,가공식품,3
3497,5011000213090100,4165000715045300,식품,농산물,3
3498,5011000213090100,4773000623040200,식품,농산물,4
3499,5011000214005200,4141000007024200,패션의류,기타패션의류,3
3500,5011000215050400,3171000681019100,식품,수산,3
3501,5011000220031300,4615000601074300,식품,농산물,4
3502,5011000224031300,4119700008082300,식품,농산물,3
3503,5011000263018300,2620000005054300,식품,농산물,4
3504,5011000266051200,1117000004026400,식품,농산물,7
3505,5011000266051200,1123000002058400,식품,농산물,4
3506,5011000272029300,2826000140030400,식품,농산물,5
3507,5011000312034400,1111000022049400,식품,농산물,3
3508,5011000312034400,4159000340074400,식품,농산물,3
3509,5011000312075100,1130500021096100,식품,농산물,4
3510,5011000313025300,4686000215080100,식품,농산물,4
3511,5011000316024300,4137000033031400,식품,수산,7
3512,5011000316024300,4213000280098300,식품,수산,5
3513,5011000316024300,4283000036005100,식품,수산,4
3514,5011000316024300,4827000439100300,식품,수산,3
3515,5011000324075400,4119500021055200,식품,음료,5
3516,5011000373070400,1114000002081300,패션의류,기타패션의류,20
3517,5011000375010100,2638000033078300,식품,음료,4
3518,5011000375010100,2711000005090200,식품,기타식품,3
3519,5011000375010100,4213000256075300,식품,음료,4
3520,5011000379006400,2818500039038100,식품,농산물,10
3521,5011000379037100,4421000438031100,식품,기타식품,7
3522,5011000420060100,4831000334034400,식품,농산물,3
3523,5011000424031100,4420000384007400,식품,농산물,5
3524,5011000424078200,4136000076022300,식품,농산물,3
3525,5011000424078200,4146300054021200,식품,농산물,4
3526,5011000424078200,4311100058047300,식품,농산물,3
3527,5011000427039300,1135000013091200,여행/문화,문화컨텐츠,12
3528,5011000437099200,1171000009051300,식품,농산물,3
3529,5011000437099200,2650000009098100,식품,농산물,3
3530,5011000437099200,3011000060089200,식품,농산물,3
3531,5011000470023200,4615000630036300,식품,기타식품,30
3532,5011000478095100,4812300017087200,식품,농산물,3
3533,5011000480078100,2817000010026400,식품,음료,6
3534,5011000485091400,4713001338033300,식품,농산물,4
3535,5011000491001200,4825000430065300,식품,농산물,4
3536,5011000523023200,4121000015061200,식품,농산물,15
3537,5011000525070400,4148000690072400,식품,농산물,3
3538,5011000570061200,4121000020090400,식품,농산물,3
3539,5011000572084100,1141000018099200,식품,농산물,3
3540,5011000595017300,1129000009002100,생활/건강,음반,3
3541,5011000595017300,2641000060091400,생활/건강,음반,4
3542,5011000595017300,2811000141079100,생활/건강,음반,4
3543,5011000595017300,4128500033031100,생활/건강,음반,3
3544,5011000595017300,4128500057051200,생활/건강,음반,3
3545,5011000595017300,4615000659092100,생활/건강,음반,3
3546,5011000626011200,2671000192013200,식품,농산물,5
3547,5011000685067100,1135000020034300,식품,농산물,5
3548,5011000685067100,4145000029025200,식품,농산물,3
3549,5011000685067100,4161000230007300,식품,농산물,3
3550,5011000685067100,4372000383017300,식품,농산물,4
3551,5011000767075300,4711100160073100,식품,축산,3
3552,5011000768041400,4139000010088200,식품,농산물,6
3553,5011000854058100,4315000266071400,식품,농산물,3
3554,5011000972091200,4115000026076300,식품,수산,10
3555,5011000974075400,3114000017005300,식품,농산물,6
3556,5011001001094200,4613000315031400,식품,농산물,4
3557,5011001027032300,2817000017086200,식품,농산물,3
3558,5011001054058100,4374000682022300,식품,과자,4
3559,5011001060063300,4165000625009300,식품,농산물,3
3560,5011001076050400,4613000289095400,식품,음료,5
3561,5011001108036200,1117000015066100,식품,농산물,4
3562,5013000009018200,4146500033007200,식품,농산물,4
3563,5013000056001300,1154500006059200,식품,농산물,4
3564,5013000056011100,4148000607074100,식품,기타식품,4
3565,5013000308099400,4514000400062200,식품,농산물,4
3566,5013000354052200,2726000034094300,식품,농산물,3
3567,5013000359097100,4812100188068100,식품,농산물,3
3568,5013000365074100,4691000552035100,식품,농산물,3
3569,5013000367046200,4623000396074300,식품,농산물,4
3570,5013000411054400,3111000015069200,식품,농산물,3
3571,5013000467047100,4139000140051300,식품,농산물,3
3572,5013000511011200,4145000014050300,식품,농산물,3
3573,5013000557071300,1120000003028200,식품,농산물,4
3574,5013000581065400,2650000009010200,식품,농산물,3
3575,5013000581065400,4145000027002300,식품,농산물,3
3576,5013000610049100,1121500010062200,식품,농산물,3
3577,5013000610049100,1123000014051200,식품,농산물,4
3578,5013000610049100,1135000034040400,식품,농산물,3
3579,5013000610049100,1147000015079200,식품,농산물,3
3580,5013000610049100,1165000011017400,식품,농산물,3
3581,5013000610049100,1165000039064400,식품,농산물,3
3582,5013000610049100,1168000018067300,식품,농산물,3
3583,5013000610049100,1168000029014400,식품,농산물,3
3584,5013000610049100,2629000008070100,식품,농산물,3
3585,5013000610049100,2723000093006200,식품,농산물,3
3586,5013000610049100,2920000092048200,식품,농산물,3
3587,5013000610049100,4127300056098100,식품,농산물,4
3588,5013000610049100,4413100291072200,식품,농산물,16
3589,5013000610049100,4413300191050300,식품,농산물,3
3590,5013000610049100,4817000564025200,식품,농산물,5
3591,5013000617099100,4137000003098100,식품,농산물,7
3592,5013000622057100,4148000334071400,식품,농산물,4
3593,5013000622057100,4223000021081200,식품,농산물,3
3594,5013000624091200,4480000134047100,식품,농산물,3
3595,5013000624091200,4825000113083200,식품,농산물,4
3596,5013000632075100,3023000065027200,식품,농산물,3
3597,5013000664028200,1156000012036200,식품,농산물,3
3598,5013000667089200,4680000279076300,식품,농산물,5
3599,5013000673010300,1168000015031100,식품,농산물,3
3600,5013000673010300,3014000012005300,식품,농산물,3
3601,5013000675081300,1154500012064300,식품,농산물,5
3602,5013000675081300,4375000045057100,식품,농산물,5
3603,5013000685046100,3017000019067200,식품,농산물,8
3604,5013000685046100,4415000481019200,식품,농산물,4
3605,5013000703030300,2823700019052300,식품,농산물,3
3606,5013000703030300,4146500018064400,식품,농산물,5
3607,5013000723077100,4812100185069300,식품,농산물,3
3608,5013000731055200,1138000021002200,식품,농산물,3
3609,5013000731055200,3120000135022300,식품,농산물,5
3610,5013000731055200,4115000028032200,식품,농산물,3
3611,5013000731055200,4136000341089400,식품,농산물,3
3612,5013000731055200,4136000418005200,식품,농산물,3
3613,5013000731055200,4139000017007400,식품,농산물,3
3614,5013000731055200,4315000316055300,식품,농산물,3
3615,5013000731055200,4373000344067100,식품,농산물,4
3616,5013000731055200,4421000398085200,식품,농산물,3
3617,5013000731055200,4511300069088300,식품,농산물,3
3618,5013000731055200,4613000341014100,식품,농산물,3
3619,5013000731055200,4773000828075400,식품,농산물,3
3620,5013000731055200,4831000309018400,식품,농산물,4
3621,5013000731079400,1138000016037300,식품,농산물,5
3622,5013000733051400,3120000043013200,식품,농산물,5
3623,5013000733053400,1168000024042400,식품,농산물,4
3624,5013000734074400,4421000140026400,식품,농산물,6
3625,5013000734088300,2826000028002100,식품,농산물,5
3626,5013000735001200,4313000629012200,식품,농산물,3
3627,5013000735022300,2820000041005400,식품,농산물,3
3628,5013000754028300,4119500018096300,식품,농산물,3
3629,5013000765096400,1165000027083300,식품,농산물,9
3630,5013000765096400,2650000001076400,식품,농산물,3
3631,5013000765096400,4121000025009400,식품,농산물,4
3632,5013000765096400,4611000042048400,식품,농산물,3
3633,5013000768074300,1111000012080300,식품,농산물,3
3634,5013000777063100,2824500023095100,식품,농산물,4
3635,5013000777063100,4117300019050100,식품,농산물,5
3636,5013000777063100,4121000003096200,식품,농산물,5
3637,5013000777063100,4420000324048200,식품,농산물,3
3638,5013000789029100,4180000591006300,식품,농산물,3
3639,5013000802063100,4673000216030300,식품,농산물,8
3640,5013000812070200,1121500003092400,식품,농산물,5
3641,5013000812074300,4121000007067100,식품,농산물,3
3642,5013000813054200,4311300041094100,식품,농산물,3
3643,5013000813054200,4377000298064200,식품,농산물,7
3644,5013000817046300,4146500036014200,식품,농산물,3
3645,5013000817079300,5013000817079300,식품,농산물,7
3646,5013000819017300,4686000378009200,식품,농산물,6
3647,5013000821028200,1132000009077400,식품,농산물,4
3648,5013000821028200,1154500006065100,식품,농산물,3
3649,5013000821028200,1165000010078200,식품,농산물,5
3650,5013000821028200,1171000002021400,식품,농산물,3
3651,5013000821028200,2647000011023400,식품,농산물,4
3652,5013000821028200,2920000072065100,식품,농산물,6
3653,5013000821028200,3020000027094300,식품,농산물,4
3654,5013000821028200,4121000030051200,식품,농산물,3
3655,5013000821028200,4122000299075200,식품,농산물,3
3656,5013000821028200,4127100046023100,식품,농산물,3
3657,5013000821028200,4128700011046200,식품,농산물,3
3658,5013000821028200,4482500376062300,식품,농산물,3
3659,5013000821028200,4817000486049200,식품,농산물,5
3660,5013000823048300,2632000034048400,식품,농산물,5
3661,5013000823063400,4514000401065200,식품,과자,3
3662,5013000825039100,2920000056068100,식품,농산물,5
3663,5013000832023400,4159000470053400,식품,농산물,4
3664,5013000839009300,4159000342006400,식품,농산물,3
3665,5013000853025400,1111000023002300,식품,농산물,4
3666,5013000854017300,4129000012083300,식품,농산물,3
3667,5013000856066200,2920000024095300,식품,농산물,3
3668,5013000870018300,4423000254052400,식품,농산물,4
3669,5013000870037300,4833000458020100,식품,농산물,3
3670,5013000894063100,4413300195045300,식품,농산물,4
3671,5013000907027300,2920000038025100,식품,농산물,3
3672,5013000909005400,4143000005061100,식품,농산물,3
3673,5013000930047300,4115000033008200,식품,농산물,6
3674,5013000946015400,1168000004051300,식품,농산물,3
3675,5013000946015400,2638000030083200,식품,농산물,6
3676,1111000023022100,5011000315099400,생활/건강,문구/사무용품,10
3677,1117000009037100,5011000368009400,디지털/가전,기타디지털/가전,4
3678,1117000023087100,5013000822051200,식품,가공식품,6
3679,1126000011019200,5013000823091300,생활/건강,주방용품,3
3680,1129000014045300,5011000168088200,여행/문화,문화컨텐츠,3
3681,1129000014045300,5011000596012200,여행/문화,문화컨텐츠,3
3682,1135000009051200,5011000137003300,생활/건강,반려동물,4
3683,1165000027065200,5011000168071200,화장품/미용,스킨케어,3
3684,1168000010070300,5011000319064100,패션의류,상의,3
3685,1168000012065400,5011000319002300,패션의류,상의,3
3686,2635000035072100,5011000372009200,패션의류,상의,3
3687,2638000036009100,5011000314097300,식품,기타식품,4
3688,2653000012007400,5011000435089400,식품,기타식품,5
3689,2717000016086400,5011000379027400,패션의류,기타패션의류,5
3690,2723000088054300,5011000429028100,식품,냉동/간편조리식품,3
3691,2723000088054300,5013000817079300,식품,음료,3
3692,2826000039021100,5013000676065400,식품,기타식품,20
3693,3020000034039400,5011001011009200,생활/건강,문구/사무용품,9
3694,3023000012008100,5011000264005100,식품,건강식품,3
3695,3023000012008100,5011000265042300,생활/건강,생활용품,6
3696,3023000012008100,5011000323091100,식품,냉동/간편조리식품,3
3697,3023000012008100,5011000372006100,식품,냉동/간편조리식품,3
3698,3171000239073400,5013000854024200,식품,가공식품,9
3699,4127300063029100,5011000116045300,식품,가공식품,5
3700,4127300065073100,5011000377016300,패션의류,상의,3
3701,4128500028049400,5011000082078400,식품,건강식품,3
3702,4128500028049400,5013000869092300,생활/건강,주방용품,3
3703,4136000163080300,5013000866049100,식품,음료,3
3704,4136000239050200,5011000264074100,식품,음료,10
3705,4136000305056300,5011000318044100,생활/건강,주방용품,3
3706,4139000126007300,5011000658065300,패션의류,기타패션의류,3
3707,4141000031009400,5011000173036300,식품,가공식품,3
3708,4141000031009400,5013000823088100,식품,가공식품,3
3709,4141000031030100,5011000542054300,패션의류,상의,3
3710,4146100146003300,5011000373069300,생활/건강,문구/사무용품,8
3711,4146100234047300,5011000373078100,생활/건강,문구/사무용품,8
3712,4146100257098200,5011000219033100,패션의류,기타패션의류,3
3713,4146300025025100,5011000264027400,식품,건강식품,3
3714,4148000534085100,5011000266024300,생활/건강,생활용품,10
3715,4148000690015300,5011000173062300,여행/문화,문화컨텐츠,4
3716,4148000690015300,5011000266070300,여행/문화,문화컨텐츠,7
3717,4148000690015300,5011000315073200,여행/문화,문화컨텐츠,4
3718,4148000690015300,5011000318066400,여행/문화,문화컨텐츠,14
3719,4148000690015300,5011000372079400,여행/문화,문화컨텐츠,4
3720,4148000690015300,5011000375004300,여행/문화,문화컨텐츠,3
3721,4148000690015300,5013000822063200,여행/문화,문화컨텐츠,4
3722,4148000690015300,5013000822063400,여행/문화,문화컨텐츠,4
3723,4148000690015300,5013000867046200,여행/문화,문화컨텐츠,4
3724,4148000699072200,5011000309069100,여행/문화,문화컨텐츠,3
3725,4148000699072200,5011000778030400,여행/문화,문화컨텐츠,3
3726,4150000111085300,5013000931040200,식품,냉동/간편조리식품,5
3727,4150000184029400,5011000214078400,식품,건강식품,3
3728,4150000241045200,5011000374043300,식품,건강식품,4
3729,4150000241065200,5013000866033400,식품,건강식품,3
3730,4159000152090400,5011000213085200,식품,가공식품,3
3731,4159000286076400,5011000320024300,생활/건강,주방용품,20
3732,4159000429094300,5011000115070300,식품,냉동/간편조리식품,7
3733,4159000429094300,5011000174001400,식품,냉동/간편조리식품,4
3734,4159000429094300,5013000731069200,식품,과자,3
3735,4159000429094300,5013000810064100,식품,가공식품,4
3736,4159000429094300,5013000946062400,식품,냉동/간편조리식품,3
3737,4161000243015400,5013000624052400,식품,음료,4
3738,4165000396062100,5011000202048300,식품,농산물,3
3739,4278000597060100,5011000113074200,식품,농산물,4
3740,4313000709049400,5013000678064400,식품,기타식품,3
3741,4420000529077100,5011000313086100,식품,음료,5
3742,4427000366060200,5011000433038100,식품,건강식품,3
3743,4511300060053300,5011000215067200,생활/건강,주방용품,10
3744,4511300060053300,5011000309057300,생활/건강,주방용품,5
3745,4711300700033400,5013000670050100,식품,기타식품,13
3746,4721000353009200,5011000214011100,식품,건강식품,79
3747,4773000711032300,5011000368010400,식품,건강식품,4
3748,4782000336054200,5011000419038100,식품,농산물,3
3749,4812100213057400,5013000866075100,패션의류,기타패션의류,5
3750,5011000078068400,1129000005017200,식품,농산물,3
3751,5011000078068400,1138000024017100,식품,농산물,3
3752,5011000078068400,1141000012014400,식품,농산물,3
3753,5011000078068400,1141000012088200,식품,농산물,3
3754,5011000078068400,1147000011091400,식품,농산물,3
3755,5011000078068400,1159000004041300,식품,농산물,3
3756,5011000078068400,1159000007016300,식품,농산물,4
3757,5011000078068400,1168000036023400,식품,농산물,4
3758,5011000078068400,1171000014084300,식품,농산물,3
3759,5011000078068400,2623000022066100,식품,농산물,6
3760,5011000078068400,2629000004085400,식품,농산물,3
3761,5011000078068400,2653000032080200,식품,농산물,3
3762,5011000078068400,2729000019047100,식품,농산물,6
3763,5011000078068400,2817000008075200,식품,농산물,4
3764,5011000078068400,2817000021062200,식품,농산물,6
3765,5011000078068400,2820000019001400,식품,농산물,5
3766,5011000078068400,3117000039056200,식품,농산물,4
3767,5011000078068400,4111100019062400,식품,농산물,3
3768,5011000078068400,4111500002072200,식품,농산물,4
3769,5011000078068400,4117100011093200,식품,농산물,3
3770,5011000078068400,4119900005058300,식품,농산물,4
3771,5011000078068400,4139000017098100,식품,농산물,6
3772,5011000078068400,4141000005009200,식품,농산물,3
3773,5011000078068400,4146100329012300,식품,농산물,3
3774,5011000078068400,4150000319076200,식품,농산물,4
3775,5011000078068400,4157000244057100,식품,농산물,4
3776,5011000078068400,4159000246018400,식품,농산물,5
3777,5011000078068400,4211000579022100,식품,농산물,3
3778,5011000078068400,4213000356044200,식품,농산물,4
3779,5011000078068400,4311300051034100,식품,농산물,4
3780,5011000078068400,4511300061065200,식품,농산물,4
3781,5011000078068400,4812100184038200,식품,농산물,3
3782,5011000078068400,4831000313028300,식품,농산물,3
3783,5011000113015100,2717000012087300,식품,농산물,3
3784,5011000137030100,2729000033068100,식품,농산물,3
3785,5011000137030100,4115000036041100,식품,농산물,3
3786,5011000137030100,4221000015028200,식품,농산물,3
3787,5011000137030100,4793000585047300,식품,농산물,3
3788,5011000168088200,2824500047007100,식품,수산,4
3789,5011000168088200,3017000014085200,식품,수산,13
3790,5011000168088200,3020000094052100,식품,수산,3
3791,5011000169073300,4313000629014300,식품,수산,10
3792,5011000213071400,4128100148005400,생활/건강,문구/사무용품,3
3793,5011000213090100,4413300183034100,식품,농산물,8
3794,5011000213090100,4812300017060400,식품,농산물,4
3795,5011000214049400,1156000009066100,식품,농산물,3
3796,5011000224036300,1171000030069300,식품,농산물,4
3797,5011000258018200,4623000325059100,식품,수산,4
3798,5011000262035400,1168000011050400,식품,가공식품,15
3799,5011000263065100,4146300072031100,식품,가공식품,9
3800,5011000264067300,4141000031030100,디지털/가전,기타디지털/가전,3
3801,5011000266051200,4673000326017400,식품,농산물,17
3802,5011000267019100,1165000016016200,식품,기타식품,3
3803,5011000272063400,4117300023098200,식품,농산물,4
3804,5011000278096100,3111000019085300,식품,농산물,6
3805,5011000310047200,1111000007071100,식품,수산,3
3806,5011000310047200,2826000139070400,식품,수산,5
3807,5011000312034400,4143000048027100,식품,농산물,3
3808,5011000313019300,2824500048081400,식품,축산,8
3809,5011000314060100,4423000285049200,식품,축산,25
3810,5011000316024300,4131000014084100,식품,수산,3
3811,5011000318041400,4420000061021300,패션의류,기타패션의류,3
3812,5011000318049100,4873000185005400,식품,농산물,7
3813,5011000319051100,4719000273099400,식품,농산물,3
3814,5011000321079100,4812700052011100,식품,농산물,4
3815,5011000349021200,1168000017017200,식품,수산,4
3816,5011000367041300,4223000242062200,식품,농산물,4
3817,5011000372087100,3014000008051400,식품,농산물,3
3818,5011000373038300,4511100004008100,식품,농산물,3
3819,5011000373048200,5011000721046200,식품,농산물,8
3820,5011000374036400,4313000741002400,식품,수산,3
3821,5011000375010100,4148000607065400,식품,음료,4
3822,5011000379006400,1154500003013100,식품,농산물,3
3823,5011000422097100,4136000096023400,식품,농산물,3
3824,5011000424078200,1114000007035100,식품,농산물,3
3825,5011000424078200,2717000015026400,식품,농산물,3
3826,5011000424078200,3014000007083300,식품,농산물,3
3827,5011000424078200,3171000184084300,식품,농산물,5
3828,5011000424078200,4111100032051400,식품,농산물,3
3829,5011000429098400,4127100055084300,식품,음료,4
3830,5011000429098400,4148000359036300,식품,기타식품,3
3831,5011000437099200,1130500025020300,식품,농산물,3
3832,5011000437099200,4115000044057100,식품,수산,32
3833,5011000450085400,4812500001059300,식품,수산,4
3834,5011000479070200,3014000006057400,식품,음료,3
3835,5011000481011200,4413300200056400,식품,농산물,3
3836,5011000534035100,1114000001069200,식품,기타식품,8
3837,5011000535028300,4113500004009100,식품,농산물,3
3838,5011000572084100,2820000030006200,식품,농산물,31
3839,5011000572084100,4122000186096400,식품,농산물,3
3840,5011000595017300,1135000020023300,생활/건강,음반,4
3841,5011000595017300,1156000011018300,생활/건강,음반,3
3842,5011000595017300,1156000025094400,생활/건강,음반,4
3843,5011000595017300,1165000003097200,생활/건강,음반,9
3844,5011000595017300,2614000010088300,생활/건강,음반,5
3845,5011000595017300,4117100026020200,생활/건강,음반,3
3846,5011000595017300,4136000323094300,생활/건강,음반,3
3847,5011000633031300,2632000029093300,식품,기타식품,5
3848,5011000685067100,3020000106082100,식품,농산물,3
3849,5011000685067100,4119500005015400,식품,농산물,3
3850,5011000685067100,4122000067044300,식품,농산물,3
3851,5011000685067100,4717000404006100,식품,농산물,3
3852,5011000850094200,4159000466030300,식품,농산물,5
3853,5011000854058100,1165000016016100,식품,농산물,3
3854,5011000979041400,4121000002002400,식품,가공식품,6
3855,5011001004074100,4167000434070400,식품,농산물,3
3856,5011001009009100,4165000516078300,식품,농산물,3
3857,5011001054058100,1135000008093300,식품,농산물,3
3858,5011001060063300,4111300048062400,식품,농산물,5
3859,5011001069093300,4377000220003100,식품,농산물,4
3860,5011001115021200,4111700010008400,식품,농산물,5
3861,5011001128032200,4127100026076200,식품,농산물,4
3862,5013000009018200,4571000319092100,식품,농산물,4
3863,5013000043028400,4615000692020300,식품,농산물,3
3864,5013000232095200,4148000669056200,식품,농산물,3
3865,5013000232098200,1123000006017200,식품,농산물,3
3866,5013000234100300,2826000016097300,식품,농산물,3
3867,5013000268075400,4157000151007100,식품,농산물,4
3868,5013000273017200,1150000019010200,식품,농산물,6
3869,5013000273029400,1168000027034200,식품,농산물,5
3870,5013000308099400,4121000026085300,식품,농산물,4
3871,5013000354052200,1135000025003200,식품,농산물,5
3872,5013000354052200,1150000034090200,식품,농산물,15
3873,5013000354052200,2726000016085300,식품,농산물,3
3874,5013000354052200,4711300748081300,식품,농산물,5
3875,5013000367057200,2826000112013200,식품,농산물,4
3876,5013000459099100,4888000157036400,식품,농산물,5
3877,5013000463067300,1165000010018300,식품,농산물,5
3878,5013000463067300,3017000007088300,식품,농산물,3
3879,5013000571005200,4427000716030400,식품,농산물,3
3880,5013000572007300,3114000025061200,식품,농산물,4
