,종목코드
8301,302430
8313,088260
8418,110020
8427,122310
8488,314130
8493,299480
8543,042000
8552,263700
8636,284740
8653,110790
8660,311270
8687,308700
8689,258050
8706,117730
8710,246710
8716,091810
8730,208340
8735,037030
8779,290720
8793,303360
8820,284620
8826,307160
8828,293480
8865,080720
8877,291210
8878,310870
8945,300720
9007,016790
9058,298040
9059,298050
9060,298020
9061,298000
9065,290270
9104,00104K
9120,322780
9156,335890
9157,335870
9237,338100
9275,337450
9298,950180
9369,331520
9371,329050
9409,308100
9414,286750
9445,311390
9465,317860
9466,104620
9474,278650
9479,234690
9503,323350
9526,317850
9541,332290
9542,336570
9604,317330
9684,336370
9685,33637K
9686,33637L
9690,336260
9691,33626K
9692,33626L
9701,192650
9742,317120
9745,300120
9750,214260
9761,228670
9772,330590
9802,195500
9803,305090
9822,235980
9839,327260
9875,328380
9876,333430
9878,100790
9949,288330
10060,329560
10119,148150
10147,234340
10151,308170
10154,299660
10182,317770
10221,323280
10231,226330
10238,323230
10239,333050
10273,297090
10292,125210
10294,00279K
10319,289010
10341,084850
10348,158430
10349,149300
10368,293780
10373,179530
10422,306040
10436,317830
10450,241840
10454,312610
10481,247540
10493,317870
10501,238170
10505,319400
10506,339950
10507,093510
10587,244460
10607,316140
10625,103840
10638,278380
10657,053580
10669,313760
10702,313750
10703,336060
10704,340360
10710,337840
10717,321260
10718,331380
10739,279060
10743,246960
10748,336040
10757,323210
10769,341310
10789,099750
10853,317400
10886,322510
10903,216080
10930,013890
10962,250030
10972,311690
10973,278280
10989,317530
10996,307930
10999,327970
11003,317030
11005,323940
11006,330990
11017,272110
11042,290510
11046,190650
11082,282880
11135,124560
11160,322180
11170,321550
11175,309900
11208,318010
11219,251970
11221,327610
11259,300080
11268,319660
11276,062970
11284,320000
11285,332710
11306,317240
11307,340120
11327,331660
11328,318000
11377,256150
11447,272210
11448,317320
11456,340440
11486,322000
11489,307950
11592,367340
11608,365550
11630,351340
11631,351320
11754,340350
11764,326030
11833,348150
11848,355150
11852,339770
11909,257990
11938,330860
11947,348210
11994,343090
12000,353200
12001,35320K
12032,369370
12088,298540
12103,348840
12181,223250
12243,294140
12270,253610
12328,009900
12347,322970
12358,353490
12362,357250
12378,950190
12386,301300
12393,266470
12400,323990
12433,337930
12445,318410
12466,352820
12562,294630
12572,092190
12589,357550
12643,347000
12647,331920
12657,290690
12659,950200
12670,357780
12672,304100
12708,290520
12725,344050
12775,286000
12816,332370
12866,347860
12871,291650
12885,129890
12901,298060
12951,322190
12967,353070
12968,353060
12979,262260
12983,244920
13016,353190
13017,359090
13018,365590
13019,265740
13020,354200
13029,198080
13042,297890
13048,169330
13057,347890
13061,060850
13095,329020
13122,332570
13156,053080
13165,122830
13178,330350
13179,348350
13224,367460
13264,344860
13275,164060
13281,349720
13311,294090
13315,353810
13316,350520
13317,334890
13330,352940
13415,348950
13416,204270
13431,199820
13520,293490
13540,342550
13543,344820
13558,347140
13563,274090
13575,357120
13629,317690
13652,352770
13708,340570
13712,356860
13714,363280
13715,36328K
13779,318020
13782,354230
13800,335810
13804,237820
13819,347740
13823,304840
13829,347770
13831,341160
13832,343510
13834,299030
13907,032300
